baseline,budget,dataset,seed,hits,misses,hit_rate,evictions,saved_prefill_ms,miss_cost_ms,p95_ttft_ms,status
belady,0.5,tau_bench,2,166598,484850,0.255735,242425,1333525.06,4604801.93,18.94,ok
belady,0.5,tau_bench,3,166598,484850,0.255735,242425,1333538.23,4604788.76,18.94,ok
belady,1.0,tau_bench,1,166598,484850,0.255735,0,1334395.44,4603931.56,18.94,ok
belady,1.0,tau_bench,2,166598,484850,0.255735,0,1333525.06,4604801.93,18.94,ok
belady,1.0,tau_bench,3,166598,484850,0.255735,0,1333538.23,4604788.76,18.94,ok
oracle_cost,0.1,tau_bench,1,166598,484850,0.255735,436365,1334395.44,4603931.56,18.94,ok
oracle_cost,0.1,tau_bench,2,166598,484850,0.255735,436365,1333525.06,4604801.93,18.94,ok
oracle_cost,0.1,tau_bench,3,166598,484850,0.255735,436365,1333538.23,4604788.76,18.94,ok
oracle_cost,0.25,tau_bench,1,166598,484850,0.255735,363638,1334395.44,4603931.56,18.94,ok
oracle_cost,0.25,tau_bench,2,166598,484850,0.255735,363638,1333525.06,4604801.93,18.94,ok
oracle_cost,0.25,tau_bench,3,166598,484850,0.255735,363638,1333538.23,4604788.76,18.94,ok
oracle_cost,0.5,tau_bench,1,166598,484850,0.255735,242425,1334395.44,4603931.56,18.94,ok
oracle_cost,0.5,tau_bench,2,166598,484850,0.255735,242425,1333525.06,4604801.93,18.94,ok
oracle_cost,0.5,tau_bench,3,166598,484850,0.255735,242425,1333538.23,4604788.76,18.94,ok
oracle_cost,1.0,tau_bench,1,166598,484850,0.255735,0,1334395.44,4603931.56,18.94,ok
oracle_cost,1.0,tau_bench,2,166598,484850,0.255735,0,1333525.06,4604801.93,18.94,ok
oracle_cost,1.0,tau_bench,3,166598,484850,0.255735,0,1333538.23,4604788.76,18.94,ok
kvflow_faithful,0.1,tau_bench,1,,,,,,,,pending
kvflow_faithful,0.1,tau_bench,2,,,,,,,,pending
kvflow_faithful,0.1,tau_bench,3,,,,,,,,pending
kvflow_faithful,0.25,tau_bench,1,,,,,,,,pending
kvflow_faithful,0.25,tau_bench,2,,,,,,,,pending
kvflow_faithful,0.25,tau_bench,3,,,,,,,,pending
kvflow_faithful,0.5,tau_bench,1,,,,,,,,pending
kvflow_faithful,0.5,tau_bench,2,,,,,,,,pending
kvflow_faithful,0.5,tau_bench,3,,,,,,,,pending
kvflow_faithful,1.0,tau_bench,1,,,,,,,,pending
kvflow_faithful,1.0,tau_bench,2,,,,,,,,pending
kvflow_faithful,1.0,tau_bench,3,,,,,,,,pending
