baseline,capacity_gib,concurrency,task_id,seed,domain,hits,misses,hit_rate,evictions,miss_prefill_tokens,miss_prefill_ms,p50_ttft_ms,p95_ttft_ms,resume_hit_rate,status
apc_lru,4,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
belady,4,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
belady,4,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
belady,4,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
oracle_cost,4,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
oracle_cost,4,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
oracle_cost,4,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
lru,6,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
lru,6,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
lru,6,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
gdsf,6,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
gdsf,6,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
gdsf,6,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
sizecost,6,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
sizecost,6,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
sizecost,6,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
apc_lru,6,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
apc_lru,6,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
apc_lru,6,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
belady,6,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
belady,6,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
belady,6,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
oracle_cost,6,1,airline-0,101112,airline,1723,202,0.895065,0,3156,166.4012,2.784,57.0753,0.895065,ok
oracle_cost,6,1,airline-0,123,airline,6319,230,0.96488,0,3448,64.4849,2.3464,3.5136,0.96488,ok
oracle_cost,6,1,airline-0,131415,airline,8282,502,0.942851,0,7789,141.8656,3.1385,10.9021,0.942851,ok
lru,1,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,1,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,1,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,1,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,1,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,1,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,1,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,1,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,1,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,1,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,1,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,1,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,1,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,1,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,1,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,1,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,1,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,1,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
lru,2,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,2,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,2,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,2,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,2,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,2,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,2,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,2,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,2,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,2,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,2,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,2,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,2,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,2,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,2,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,2,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,2,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,2,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
lru,4,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,4,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,4,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,4,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,4,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,4,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,4,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,4,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,4,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,4,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,4,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,4,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,4,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,4,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,4,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,4,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,4,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,4,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
lru,6,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,6,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,6,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,6,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,6,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,6,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,6,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,6,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,6,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,6,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,6,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,6,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,6,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,6,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,6,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,6,4,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,6,4,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,6,4,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
lru,1,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,1,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,1,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,1,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,1,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,1,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,1,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,1,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,1,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,1,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,1,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,1,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,1,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,1,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,1,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,1,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,1,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,1,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
lru,2,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
lru,2,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
lru,2,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
gdsf,2,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
gdsf,2,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
gdsf,2,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
sizecost,2,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
sizecost,2,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
sizecost,2,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
apc_lru,2,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
apc_lru,2,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
apc_lru,2,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
belady,2,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
belady,2,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
belady,2,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
oracle_cost,2,8,airline-0,131415,airline,8157,627,0.92862,0,9770,189.1371,3.3686,11.2221,0.92862,ok
oracle_cost,2,8,airline-0,123,airline,6309,240,0.963353,0,3600,67.738,2.3684,3.5136,0.963353,ok
oracle_cost,2,8,airline-0,101112,airline,1858,67,0.965195,0,1023,46.6066,2.0094,12.8085,0.965195,ok
