valid,failure_reasons,selection_rate,movement_reduction,selective_migrations,always_migrations,gpu_bypass_rate,gpu_bypass_transfer_reduction,flowcache_transfer_ms,selective_migration_only_transfer_ms,selective_p95_cache_delay_ms,always_p95_cache_delay_ms,selective_modeled_service_cost_ms,always_modeled_service_cost_ms,selective_migration_only_p95_cache_delay_ms,selective_migration_only_modeled_service_cost_ms,replay_ratio_vs_oracle,candidate_id,minimum_net_benefit_ms,cpu_admission_margin_ms,gpu_admission_margin_ms,gpu_admission_cold_start_cost_ratio,expected_cpu_residence_steps,raw_results
True,,0.2622065616673761,0.738500483486765,33263.0,127201.0,0.03392260852484777,0.016600116565332973,3390.7862275955267,3448.0238250107504,7556.304325349629,7347.4795909714885,13000041.528628964,12728917.813387292,7345.298391068354,12725012.447925342,1.0831458142402859,candidate-001,0.0,0.0,0.0,0.5,100,/root/autodl-tmp/flowcache-data/runs/g3-p1-v2-20260728T063735Z/tuning/candidate-001.csv
True,,0.2622065616673761,0.738500483486765,33263.0,127201.0,0.03392260852484777,0.016600116565332973,3390.7862275955267,3448.0238250107504,7556.304325349629,7347.4795909714885,13000041.528628964,12728917.813387292,7345.298391068354,12725012.447925342,1.0406211412994757,candidate-002,0.0,0.5,0.0,0.5,100,/root/autodl-tmp/flowcache-data/runs/g3-p1-v2-20260728T063735Z/tuning/candidate-002.csv
True,,0.25621398333477857,0.7444910024292262,32501.0,127201.0,0.036092981321416674,0.010587758382450116,3350.247829395812,3386.0990277607925,7617.7863196935505,7347.4795909714885,13038927.023203287,12728917.813387292,7345.298391068354,12724950.523128092,1.035175137429122,candidate-003,0.5,0.0,0.0,0.5,100,/root/autodl-tmp/flowcache-data/runs/g3-p1-v2-20260728T063735Z/tuning/candidate-003.csv
True,,0.25621398333477857,0.7444910024292262,32501.0,127201.0,0.036092981321416674,0.010587758382450116,3350.247829395812,3386.0990277607925,7617.7863196935505,7347.4795909714885,13038927.023203287,12728917.813387292,7345.298391068354,12724950.523128092,1.0428883204159562,candidate-004,0.5,0.5,0.0,0.5,100,/root/autodl-tmp/flowcache-data/runs/g3-p1-v2-20260728T063735Z/tuning/candidate-004.csv
True,,0.2531771309640188,0.7475334313409486,32114.0,127201.0,0.038658156333388725,0.008473918156010478,3329.65943031013,3358.115829003509,7638.379264506511,7347.4795909714885,13096160.623050295,12728917.813387292,7345.298391068354,12724922.539929336,1.0232428040058292,candidate-005,1.0,0.0,0.0,0.5,100,/root/autodl-tmp/flowcache-data/runs/g3-p1-v2-20260728T063735Z/tuning/candidate-005.csv
True,,0.2531771309640188,0.7475334313409486,32114.0,127201.0,0.038658156333388725,0.008473918156010478,3329.65943031013,3358.115829003509,7638.379264506511,7347.4795909714885,13096160.623050295,12728917.813387292,7345.298391068354,12724922.539929336,1.0292620755337092,candidate-006,1.0,0.5,0.0,0.5,100,/root/autodl-tmp/flowcache-data/runs/g3-p1-v2-20260728T063735Z/tuning/candidate-006.csv
