valid,failure_reasons,selection_rate,movement_reduction,selective_migrations,always_migrations,gpu_bypass_rate,gpu_bypass_transfer_reduction,flowcache_transfer_ms,selective_migration_only_transfer_ms,selective_p95_cache_delay_ms,always_p95_cache_delay_ms,selective_modeled_service_cost_ms,always_modeled_service_cost_ms,selective_migration_only_p95_cache_delay_ms,selective_migration_only_modeled_service_cost_ms,replay_ratio_vs_oracle,candidate_id,minimum_net_benefit_ms,cpu_admission_margin_ms,gpu_admission_margin_ms,gpu_admission_cold_start_cost_ratio,expected_cpu_residence_steps,raw_results
False,gpu_bypass_transfer_reduction,0.2791548918818927,0.7212050219730977,35463.0,127201.0,0.01845724536575643,0.008756310919858498,3511.069522210164,3542.0851208327804,7364.728814922273,7347.4795909714885,12837855.078740016,12728917.813387292,7345.298391068354,12725060.29597242,0.9859377539072113,candidate-001,0.0,0.0,0.0,0.25,50,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-001.csv
False,gpu_bypass_transfer_reduction,0.2622086286133205,0.738500483486765,33263.0,127201.0,0.03384703028160022,0.016600116565332973,3390.7862275955267,3448.0238250107504,7556.304325349629,7347.4795909714885,12999494.205569673,12728917.813387292,7345.298391068354,12725012.447925342,0.9824903265705219,candidate-002,0.0,0.0,0.0,0.25,100,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-002.csv
False,"p95_cache_delay,modeled_service_cost,p95_vs_selective_migration_only,service_vs_selective_migration_only",0.24261308778117344,0.7609688603077019,30405.0,127201.0,0.053371490239155155,0.05945832822891453,3158.397838997189,3358.0626290058717,7975.40011710953,7347.4795909714885,13433339.948911743,12728917.813387292,7345.298391068354,12724922.486729339,0.9647719094936573,candidate-003,0.0,0.0,0.0,0.25,200,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-003.csv
False,gpu_bypass_transfer_reduction,0.2791391484370695,0.7212207451199283,35461.0,127201.0,0.018545276983328186,0.008786349722327995,3510.963122214889,3542.0851208327804,7364.728814922273,7347.4795909714885,12838402.295399312,12728917.813387292,7345.298391068354,12725060.29597242,0.9802565466854981,candidate-004,0.0,0.0,0.0,0.5,50,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-004.csv
False,gpu_bypass_transfer_reduction,0.2622065616673761,0.738500483486765,33263.0,127201.0,0.03392260852484777,0.016600116565332973,3390.7862275955267,3448.0238250107504,7556.304325349629,7347.4795909714885,13000041.528628964,12728917.813387292,7345.298391068354,12725012.447925342,0.9840833897442611,candidate-005,0.0,0.0,0.0,0.5,100,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-005.csv
False,"p95_cache_delay,modeled_service_cost,p95_vs_selective_migration_only,service_vs_selective_migration_only",0.2426510484823338,0.7609295524406254,30410.0,127201.0,0.05338009712479766,0.05937911589204818,3158.663838985376,3358.0626290058717,7975.40011710953,7347.4795909714885,13432701.66249748,12728917.813387292,7345.298391068354,12724922.486729339,0.9737737935722186,candidate-006,0.0,0.0,0.0,0.5,200,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-006.csv
False,gpu_bypass_transfer_reduction,0.2791391484370695,0.7212207451199283,35461.0,127201.0,0.018545276983328186,0.008786349722327995,3510.963122214889,3542.0851208327804,7364.728814922273,7347.4795909714885,12838402.295399312,12728917.813387292,7345.298391068354,12725060.29597242,0.9984806656768057,candidate-007,0.0,0.0,0.0,0.75,50,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-007.csv
False,gpu_bypass_transfer_reduction,0.2622007457215605,0.7385083450601804,33262.0,127201.0,0.033932429778039674,0.016615545692374244,3390.7330275978893,3448.0238250107504,7556.304325349629,7347.4795909714885,13000041.475428967,12728917.813387292,7345.298391068354,12725012.447925342,0.9808835204876133,candidate-008,0.0,0.0,0.0,0.75,100,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-008.csv
False,"p95_cache_delay,modeled_service_cost,p95_vs_selective_migration_only,service_vs_selective_migration_only",0.23790215741848458,0.7670615797045621,29630.0,127201.0,0.053388703678723524,0.0849189003066087,3072.899643389974,3358.0626290058717,7975.40011710953,7347.4795909714885,13432865.560179634,12728917.813387292,7345.298391068354,12724922.486729339,0.981660273428178,candidate-009,0.0,0.0,0.0,0.75,200,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-009.csv
False,gpu_bypass_transfer_reduction,0.2791548918818927,0.7212050219730977,35463.0,127201.0,0.01845724536575643,0.008756310919858498,3511.069522210164,3542.0851208327804,7364.728814922273,7347.4795909714885,12837855.078740016,12728917.813387292,7345.298391068354,12725060.29597242,0.9820278033909701,candidate-010,0.0,0.5,0.0,0.25,50,/root/autodl-tmp/flowcache-runs/g3-p1-20260728T052741Z/tuning/candidate-010.csv
